inst,start,L0,L_final,improve_pct,basin_id
3,45,5.982583,2.500884,58.1973,0
3,46,7.394695,2.620385,64.5640,2
3,47,5.974141,2.500884,58.1382,0
3,48,7.804914,2.500884,67.9576,0
3,49,4.416862,2.500884,43.3787,0
3,50,3.937488,2.500884,36.4853,0
3,51,4.920097,2.500884,49.1700,0
3,52,5.874712,2.500884,57.4297,0
3,53,6.783518,2.620385,61.3713,2
3,54,7.044901,2.500884,64.5008,0
3,55,6.942108,2.530307,63.5513,1
3,56,5.123057,2.530307,50.6094,1
3,57,5.620392,2.500884,55.5034,0
3,58,6.149169,2.620385,57.3864,2
3,59,7.581989,2.500884,67.0155,0
3,60,4.770985,2.530307,46.9647,1
3,61,7.449871,2.500884,66.4305,0
3,62,7.134258,2.500884,64.9454,0
3,63,6.591479,2.500884,62.0588,0
3,64,6.765517,2.620385,61.2685,2
3,65,5.783396,2.500884,56.7575,0
3,66,6.818307,2.500884,63.3210,0
3,67,5.943516,2.500884,57.9225,0
3,68,6.547506,2.500884,61.8040,0
3,69,5.679926,2.530307,55.4518,1
3,70,7.143107,2.500884,64.9889,0
3,71,4.516790,2.500884,44.6314,0
3,72,7.911112,2.500884,68.3877,0
3,73,6.913474,2.500884,63.8260,0
3,74,6.644305,2.500884,62.3605,0
3,75,5.500036,2.500884,54.5297,0
3,76,3.699702,2.500884,32.4031,0
3,77,6.156948,2.500884,59.3811,0
3,78,5.503224,2.530307,54.0214,1
3,79,4.956549,2.500884,49.5439,0
3,80,5.732700,2.500884,56.3751,0
3,81,5.667066,2.500884,55.8699,0
3,82,6.897916,2.500884,63.7444,0
3,83,5.746770,2.500884,56.4819,0
3,84,6.946525,2.500884,63.9981,0
3,85,5.972930,2.500884,58.1297,0
3,86,6.061987,2.500884,58.7448,0
3,87,7.424832,2.500884,66.3173,0
3,88,6.943044,2.500884,63.9800,0
3,89,5.499209,2.620385,52.3498,2
3,90,5.953600,2.500884,57.9938,0
3,91,7.436574,2.500884,66.3705,0
3,92,6.811907,2.530307,62.8546,1
3,93,7.077583,2.500884,64.6647,0
3,94,6.717491,2.500884,62.7706,0
3,95,5.212154,2.500884,52.0182,0
3,96,4.222896,2.530307,40.0812,1
3,97,5.362179,2.500884,53.3607,0
3,98,4.497091,2.530307,43.7346,1
3,99,5.092416,2.620385,48.5434,2
3,100,5.114798,2.500884,51.1049,0
3,101,5.586768,2.620385,53.0966,2
3,102,5.713095,2.500884,56.2254,0
3,103,5.928174,2.500884,57.8136,0
3,104,6.901757,2.500884,63.7645,0
3,105,5.076159,2.530307,50.1531,1
3,106,6.924265,2.500884,63.8823,0
3,107,5.739320,2.530307,55.9128,1
3,108,5.145875,2.500884,51.4002,0
3,109,5.686968,2.500884,56.0243,0
3,110,4.858254,2.620385,46.0632,2
3,111,6.841889,2.500884,63.4475,0
3,112,5.570398,2.500884,55.1040,0
