x,y,f_true,interp
-0.648958,-0.712267,0.29563747,0.29563743
0.288848,-0.145173,1.1242556,1.1242556
-0.120642,-0.578046,0.65302294,0.65302294
0.364736,-0.929673,0.34051883,0.3405187
-0.618241,-0.451771,0.31593311,0.31593308
-0.367115,-0.194679,0.5803159,0.58031588
0.756989,-0.268765,0.81846632,0.81846628
-0.429954,-0.386761,0.47953049,0.47953048
-0.048585,0.274791,0.88775942,0.88775944
-0.620868,-0.001945,0.33018668,0.33018673
-0.919121,0.328868,0.1685944,0.16859436
-0.118394,0.724120,0.55672829,0.55672829
-0.674841,-0.694708,0.28193767,0.28193766
-0.561285,-0.794179,0.33979266,0.33979266
0.520122,0.549298,0.74966687,0.74966686
-0.681031,0.807151,0.28699738,0.2869974
0.875100,-0.602875,0.45652075,0.45652075
-0.730575,-0.051273,0.24768399,0.24768403
0.006917,-0.157355,0.98130794,0.98130792
-0.145427,-0.173259,0.83165984,0.83165986
0.740034,0.065987,0.90986226,0.90986226
0.769011,-0.434169,0.69169975,0.69169975
0.289080,0.193248,1.1037415,1.1037415
-0.839830,0.540070,0.19868628,0.19868628
-0.776992,0.278214,0.21999227,0.21999227
0.941688,-0.124740,0.64737187,0.64737187
0.441023,0.364299,0.96847927,0.96847927
-0.302236,0.071538,0.67002835,0.67002834
-0.162546,-0.449775,0.70012235,0.70012229
0.511997,-0.450839,0.8587114,0.85871141
0.858960,0.111098,0.75985732,0.75985731
0.639417,0.503790,0.73108408,0.73108405
0.477056,0.642198,0.65839049,0.65839049
-0.277982,-0.938847,0.41002433,0.41002425
-0.062137,0.752558,0.55379338,0.5537934
-0.658208,0.612890,0.28804157,0.28804159
-0.929775,0.831447,0.19210567,0.19210563
-0.121860,0.743536,0.54264739,0.54264743
0.304704,-0.412564,0.94666479,0.94666477
0.766695,0.554635,0.58678851,0.58678849
0.440542,0.484294,0.8522708,0.85227078
-0.823503,0.713226,0.21767112,0.21767111
0.800498,-0.139706,0.824757,0.82475701
0.745452,-0.394734,0.7449135,0.74491348
-0.443663,0.222708,0.49306127,0.49306129
0.203308,0.290119,1.0296835,1.0296835
0.544921,0.694150,0.56710941,0.56710941
0.178726,0.588562,0.75900357,0.75900358
0.573678,0.424156,0.8515837,0.85158367
-0.069614,-0.918706,0.4329165,0.43291642
0.552608,0.157179,1.0489485,1.0489485
-0.332469,-0.297647,0.59711993,0.59711991
-0.308235,0.082888,0.66205167,0.66205169
0.918496,-0.238065,0.64463841,0.6446384
-0.670036,0.130576,0.28898101,0.28898099
-0.128317,-0.935470,0.42246133,0.4224612
0.678496,-0.439948,0.76394798,0.76394796
0.806726,-0.265091,0.76671637,0.76671634
0.552851,-0.021339,1.0798489,1.0798488
-0.069766,0.867069,0.4686115,0.4686115
-0.160841,0.359752,0.74692067,0.74692067
0.478249,0.100916,1.1077859,1.1077859
