run,step,t,h,err_est,err_true
20,6,1.3723327,0.34738967,1.1819618e-05,2.4865472e-06
20,7,1.7197223,0.37006522,1.4138373e-05,4.2702634e-06
20,8,2.0897875,0.31917264,8.4353969e-06,1.978658e-06
20,9,2.4089602,0.31895587,8.8685737e-06,1.9553073e-06
20,10,2.7279161,0.33336346,1.0545048e-05,2.2676928e-06
20,11,3.0612795,0.35492729,1.2211007e-05,2.8215461e-06
20,12,3.4162068,0.37908036,1.7518748e-05,5.2319372e-06
20,13,3.7952872,0.34690176,1.3245794e-05,3.2916369e-06
20,14,4.1421889,0.32292893,9.3220092e-06,2.0143922e-06
20,15,4.4651178,0.34426809,1.1590734e-05,2.4556523e-06
20,16,4.8093859,0.19061406,5.154098e-07,7.5532005e-08
21,0,0,0.05,4.8501747e-10,1.7415847e-11
21,1,0.05,0.1,1.5758234e-08,1.1432015e-09
21,2,0.15,0.2,5.1857259e-07,7.599974e-08
21,3,0.35,0.34693906,8.5523264e-06,2.1322631e-06
21,4,0.69693906,0.34199636,8.0729979e-06,1.8470386e-06
21,5,1.0389354,0.35989242,9.3841768e-06,2.062594e-06
21,6,1.3988278,0.38073871,1.0218483e-05,3.2240424e-06
21,7,1.7795666,0.34272383,7.720814e-06,1.9587535e-06
21,8,2.1222904,0.34248084,8.2032937e-06,1.9373914e-06
21,9,2.4647712,0.3521207,8.9296374e-06,2.0046592e-06
21,10,2.8168919,0.37147496,9.6515305e-06,2.4999758e-06
21,11,3.1883669,0.39587074,1.4592048e-05,4.4920959e-06
21,12,3.5842376,0.35876011,1.0273241e-05,2.5975752e-06
21,13,3.9429977,0.34742873,8.5709998e-06,1.9440794e-06
21,14,4.2904265,0.36592784,9.5861003e-06,2.0918693e-06
21,15,4.6563543,0.3436457,6.7927632e-06,1.8415797e-06
22,0,0,0.05,6.6755579e-10,2.3905544e-11
22,1,0.05,0.1,2.1627179e-08,1.5608046e-09
22,2,0.15,0.2,7.0780308e-07,1.0271671e-07
