algo,func,dim,ckpt_evals,n_runs,mean_best_f,median_best_f,mean_evals_actual
CMAES,ackley,5,700,60,0.0924356,0.0402411,362.5
CMAES,ackley,5,800,60,0.0924356,0.0402411,365.9
CMAES,ackley,5,900,60,0.0924356,0.0402411,369.2
HYBRID,sphere,5,100,60,0.0152794,0.0146421,111.4
HYBRID,sphere,5,200,60,0.0120805,0.0124895,191.7
HYBRID,sphere,5,300,60,0.00292159,0.00283371,281.9
HYBRID,sphere,5,400,60,0.000280398,0.000223324,381.7
HYBRID,sphere,5,500,60,1.76254e-05,1.54171e-05,471.4
HYBRID,sphere,5,600,60,3.27742e-06,3.26539e-06,571.1
HYBRID,sphere,5,700,60,2.97754e-07,2.07369e-07,668.3
HYBRID,sphere,5,800,60,3.58237e-08,5.34776e-09,756.2
HYBRID,sphere,5,900,60,1.11224e-09,8.4028e-11,842.9
HYBRID,rosenbrock,5,100,60,3.8949,3.98276,112.0
HYBRID,rosenbrock,5,200,60,3.5873,3.635,191.9
HYBRID,rosenbrock,5,300,60,3.18163,3.2934,281.9
HYBRID,rosenbrock,5,400,60,2.99509,3.00923,380.8
HYBRID,rosenbrock,5,500,60,2.74267,2.45693,468.1
HYBRID,rosenbrock,5,600,60,2.58202,2.29545,564.5
HYBRID,rosenbrock,5,700,60,2.00751,1.87905,660.5
HYBRID,rosenbrock,5,800,60,1.88159,1.57726,748.3
HYBRID,rosenbrock,5,900,60,1.66972,1.40397,840.3
HYBRID,rastrigin,5,100,60,9.95717,8.73443,112.0
HYBRID,rastrigin,5,200,60,7.7557,6.63428,191.3
HYBRID,rastrigin,5,300,60,4.55973,3.97945,281.4
HYBRID,rastrigin,5,400,60,1.33063,1.30674,381.1
HYBRID,rastrigin,5,500,60,0.56495,0.0889875,470.8
HYBRID,rastrigin,5,600,60,0.308075,0.00713706,570.7
HYBRID,rastrigin,5,700,60,0.152053,0.00173391,670.6
HYBRID,rastrigin,5,800,60,0.0340038,0.000555303,760.4
HYBRID,rastrigin,5,900,60,0.0332123,3.31241e-05,860.0
HYBRID,griewank,5,100,60,0.021878,0.0191728,111.1
HYBRID,griewank,5,200,60,0.0198521,0.0191323,191.1
HYBRID,griewank,5,300,60,0.0137884,0.0115938,281.2
HYBRID,griewank,5,400,60,0.0106436,0.00985964,371.1
HYBRID,griewank,5,500,60,0.0109937,0.00985732,454.4
HYBRID,griewank,5,600,60,0.0103533,0.00985728,544.2
HYBRID,griewank,5,700,60,0.0112926,0.00985728,632.3
HYBRID,griewank,5,800,60,0.0112497,0.00985728,715.5
HYBRID,griewank,5,900,60,0.0111263,0.00985728,798.8
HYBRID,ackley,5,100,60,0.550736,0.540012,111.7
HYBRID,ackley,5,200,60,0.478266,0.491131,192.2
HYBRID,ackley,5,300,60,0.193829,0.195841,282.0
HYBRID,ackley,5,400,60,0.0429644,0.0388522,381.8
HYBRID,ackley,5,500,60,0.0105496,0.00944125,471.4
HYBRID,ackley,5,600,60,0.0038289,0.00408545,570.7
HYBRID,ackley,5,700,60,0.000754754,0.000563914,661.9
HYBRID,ackley,5,800,60,0.000178778,7.82416e-05,749.7
HYBRID,ackley,5,900,60,2.58611e-05,7.71568e-06,835.7
