rep,th0,se0,hit0,th1,se1,hit1,hit_all
421,2.013139,0.038579,1,0.794927,0.023495,1,1
422,1.989077,0.045783,1,0.822890,0.029105,1,1
423,2.034484,0.039702,1,0.772552,0.023334,1,1
424,2.006797,0.038039,1,0.781601,0.022896,1,1
425,2.022816,0.045378,1,0.818927,0.028243,1,1
426,1.980960,0.051228,1,0.809878,0.032235,1,1
427,1.955602,0.047326,1,0.768156,0.028794,1,1
428,1.983038,0.048278,1,0.795868,0.029879,1,1
429,1.990733,0.042798,1,0.783259,0.026017,1,1
430,1.956049,0.047180,1,0.792670,0.029498,1,1
431,1.955943,0.038344,1,0.777434,0.023570,1,1
432,1.960799,0.036225,1,0.773853,0.022123,1,1
433,2.068170,0.050596,1,0.828298,0.031118,1,1
434,2.022331,0.050649,1,0.802144,0.030953,1,1
435,1.984533,0.042417,1,0.804782,0.026493,1,1
436,1.946682,0.056275,1,0.806586,0.035904,1,1
437,2.072923,0.045198,1,0.838437,0.028042,1,1
438,2.035057,0.057844,1,0.829557,0.036204,1,1
439,1.980923,0.030725,1,0.768819,0.018468,1,1
440,1.985347,0.043859,1,0.792865,0.027023,1,1
441,2.044225,0.052403,1,0.831498,0.032721,1,1
442,2.045416,0.042097,1,0.845444,0.026672,1,1
443,1.962820,0.047970,1,0.764560,0.028960,1,1
444,2.034628,0.044404,1,0.784543,0.026449,1,1
445,1.955953,0.049473,1,0.793194,0.030951,1,1
446,2.042764,0.061790,1,0.837834,0.038877,1,1
447,2.011294,0.041268,1,0.836267,0.026326,1,1
448,2.047231,0.046200,1,0.832289,0.028830,1,1
449,1.967133,0.052490,1,0.759493,0.031439,1,1
450,1.994069,0.046008,1,0.801517,0.028496,1,1
451,1.987609,0.049585,1,0.786129,0.030287,1,1
452,1.996458,0.054238,1,0.773879,0.032533,1,1
453,1.997285,0.039464,1,0.795098,0.024229,1,1
454,1.970042,0.037153,1,0.768120,0.022438,1,1
455,1.982346,0.052760,1,0.785043,0.032273,1,1
456,1.981234,0.040963,1,0.813767,0.025883,1,1
457,1.917202,0.052147,1,0.791822,0.033233,1,1
458,1.986862,0.045963,1,0.775133,0.027742,1,1
459,1.959979,0.044754,1,0.818988,0.028750,1,1
460,1.961475,0.046595,1,0.762114,0.028072,1,1
461,1.997283,0.048983,1,0.787043,0.029805,1,1
462,2.013056,0.038543,1,0.782602,0.023154,1,1
463,2.005915,0.041743,1,0.807984,0.025886,1,1
464,1.980051,0.051133,1,0.737756,0.029683,0,0
465,1.978024,0.043847,1,0.796341,0.027220,1,1
466,2.028343,0.056013,1,0.807154,0.034319,1,1
467,1.994228,0.047666,1,0.776083,0.028694,1,1
468,1.982352,0.041794,1,0.785037,0.025565,1,1
469,2.021533,0.044688,1,0.782611,0.026732,1,1
470,2.020864,0.049808,1,0.814463,0.030878,1,1
471,1.943886,0.048679,1,0.774238,0.030000,1,1
472,2.009159,0.043275,1,0.811726,0.026903,1,1
473,1.935518,0.051883,1,0.780008,0.032321,1,1
474,1.969859,0.049041,1,0.776117,0.029888,1,1
475,2.023055,0.040452,1,0.819305,0.025185,1,1
476,2.044679,0.055481,1,0.807609,0.033739,1,1
477,1.986283,0.046763,1,0.808375,0.029298,1,1
478,1.987976,0.040048,1,0.811894,0.025167,1,1
479,2.041231,0.036969,1,0.819531,0.022817,1,1
480,2.056539,0.049686,1,0.833903,0.030920,1,1
481,2.040981,0.032323,1,0.803009,0.019591,1,1
482,2.001238,0.041936,1,0.801234,0.025872,1,1
483,1.969225,0.055488,1,0.769200,0.033565,1,1
484,2.008835,0.038430,1,0.783460,0.023156,1,1
485,1.984642,0.047195,1,0.811599,0.029698,1,1
486,1.965685,0.040557,1,0.793284,0.025250,1,1
487,2.002164,0.034826,1,0.793843,0.021300,1,1
488,1.912417,0.052314,1,0.790134,0.033359,1,1
489,1.993616,0.057904,1,0.788485,0.035355,1,1
490,2.030384,0.046525,1,0.796388,0.028139,1,1
491,1.969923,0.042862,1,0.783374,0.026334,1,1
492,1.996792,0.041103,1,0.766980,0.024459,1,1
493,2.000445,0.042476,1,0.818936,0.026733,1,1
494,2.072165,0.045298,1,0.777791,0.026293,1,1
495,1.943206,0.032344,1,0.810621,0.020765,1,1
496,2.002740,0.046147,1,0.759415,0.027146,1,1
497,2.005128,0.039358,1,0.814285,0.024586,1,1
498,1.996226,0.039716,1,0.804545,0.024654,1,1
499,1.977341,0.046876,1,0.791998,0.028970,1,1
